StartDate,EndDate,Finished,consent,arrival,arrival_TEXT,alt_right_ident,race_1,race_2,race_3,race_4,race_5,race_6,gender,country,ideo_free,ident_free,mis_free,racist_free,sn_1,sn_2,sn_3,sn_4,sn_5,sn_close_1,sn_close_2,sn_close_3,sn_close_4,sn_close_5,sn_moral_1,sn_moral_2,sn_moral_3,sn_moral_4,sn_moral_5,sn_ident_1,sn_ident_2,sn_ident_3,sn_ident_4,sn_ident_5,meta_inversion_1,meta_inversion_2,meta_inversion_3,meta_inversion_4,meta_inversion_5,meta_inversion_6,stop_push,mfq_harm_1,mfq_fair_1,mfq_loyal_1,mfq_authority_1,mfq_purity_1,mfq_filler,mfq_harm_2,mfq_fair_2,mfq_loyal_2,mfq_authority_2,mfq_purity_2,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,dark_triad_m_1,dark_triad_m_2,dark_triad_m_3,dark_triad_m_4,dark_triad_n_1,dark_triad_n_2,dark_triad_n_3,dark_triad_n_4,dark_triad_p_1,dark_triad_p_2,dark_triad_p_3,dark_triad_p_4,rwa_1,rwa_2,rwa_3,rwa_4,rwa_5,rwa_6,motiv_emp_1,motiv_emp_2,motiv_emp_3,motiv_imp_1,motiv_imp_2,motiv_imp_3,motiv_ems_1,motiv_ems_2,motiv_ems_3,motiv_ims_1,motiv_ims_2,motiv_ims_3,behavior_online_name,behavior_offline_name,behavior_online_threat,behavior_offline_threat,behavior_online_harrass,behavior_offline_harrass,behavior_online_statement,behavior_offline_statement,behavior_dox,behavior_meme,blatant_black_1,blatant_black_2,blatant_black_3,blatant_black_4,blatant_black_5,blatant_black_6,blatant_black_7,blatant_black_8,blatant_black_9,blatant_white_1,blatant_white_2,blatant_white_3,blatant_white_4,blatant_white_5,blatant_white_6,blatant_white_7,blatant_white_8,blatant_white_9,ascent_amer,ascent_europe,ascent_arab,ascent_swede,ascent_niger,ascent_russia,ascent_muslim,ascent_mex,ascent_white,ascent_black,ascent_turk,ascent_donald,ascent_hillary,ascent_dem,ascent_rep,ascent_christ,ascent_jew,ascent_feminist,ascent_men,ascent_women,ascent_rep_ref,ascent_dem_ref,ascent_journalist,ascent_govt,vote,trump_satis,trump_ally,country_satis,nat_sit,nat_imp,pers_sit,pers_imp,media_cnn,media_economist,media_nyt,media_fox,media_washpo,media_bbc,media_wsj,media_blaze,media_drudge,media_abc,media_cbs,media_nbc,media_infowars,media_daily_caller,media_breitbart,media_rush,media_buzzfeed,media_msnbc,media_rachel,media_huffpo,media_sean,media_glenn,disc_white,disc_black,disc_muslim,disc_hispanic,disc_men,disc_women,disc_dem,disc_rep,disc_altright,disc_imm,problems_disc_white,problems_disc_black,problems_disc_men,problems_disc_women,problems_corrupt,problems_elite_gap,problems_rich_gap,problems_crime,problems_health,problems_climate,problems_imm,problems_terror,problems_pc,wlm_1,wlm_2,wlm_3,wlm_4,wlm_5,blm_support,blm_harm,blm_divide,police_respect,police_disc,police_racist,alt_right_ident_2
4/7/2017 18:06,4/7/2017 18:25,1,1,0,,1,1,,,,,,1,1,"I wouldn't say there's a coherent ""alt-right"" ideology. ""Alt-right"" basically means ""people who identify as right-wing but not the right-wing ideology represented by the mainstream Republican Party."" That's everything from paleocons to populists to the nationalist (civic or ethnic) far-right.","I'm economically progressive but a social conservative. Given that the Democratic Party has been working since the Clinton presidency to completely divorce the party from working class concerns, and making it solely a party of upper-middle class social liberals and their subservient (generally minority) underclass supporters, there's no place on the left for social conservatives anymore.\\But while I am a social conservative, I support economic interventionism on behalf of the American people, so there's no place for me in the mainstream GOP either. I consider myself a populist, and my views nowhere on the left-right spectrum, but I'm an (ambivalent) Trump supporter, and there is a sliver of the alt-right that agrees with me.","Basically, that everyone on the alt-right is a ""Nazi"" or ""fascist,"" or (to speak in more general terms) a far-right racist authoritarian. A lot of this ""confusion"" is intentional: mainstream politicians, and thus their lackeys in the mainstream media, are frightened by populist movements. For a long period of the neoliberal-neoconservative dominance in the Clinton and Bush eras, ""populism"" was used as an insult, much like the scary ""class warfare."" And that's no different than how the populism of Weaver, of the young Bryan, of Robert LaFollette or Ross Perot--one might very well include Thomas Jefferson--was treated.\\Left or right, it's typical of the Establishment to try to discredit movements by pointing to its most extreme members and characterizing them as representative of the whole. The ""alt-right"" movement isn't helped by the fact that a significant number of supposed members are social media trolls trying to stir up chaos.","Some amount of people on the alt-right are racists. Some amount of people in any grab-bag political grouping are racist. Personally, I find it amusing that the supposed racism of alt-righters is a bigger sin than the hundreds of thousands if not millions of deaths caused by the policies of the Establishment. Rather, I should say that I find it amusing that the establishment media would push that line; I find it disheartening that a fair amount of sensible people would believe it.",Kevin,Christine,Lucille,David,,6,5,5,6,,4,3,4,5,,1,1,1,1,,2,6,2,3,4,5,5,2,4,2,3,1,4,5,5,3,4,2,2,4,3,6,4,3,5,2,4,5,4,4,2,5,3,3,1,1,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,5,5,4,3,1,1,1,1,1,1,1,1,1,3,3,4,4,4,3,4,3,1,3,4,2,3,4,4,4,3,1,100,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,6,4,2,2,2,3,1,4,0,5,5,10,0,10,5,5,10,5,5,5,12,5,15,5,0,0,0,0,5,0,3,3,3,3,3,3,3,3,3,3,2,2,1,1,5,6,5,1,4,3,5,4,3,5,4,4,5,5,3,4,5,3,5,6,1
4/7/2017 18:26,4/7/2017 18:44,1,1,0,,1,1,,,,,,0,1,a group that wants the white race to be the superior race and have equal rights with all the other races/cultures,I believe in what they believe in,"that they are racist, that they only want the white race to survive",that they just haven't done enough information digging and research on it and are ignorant,Manny,Sophie,Melissa,Brian,Jackie,7,7,6,5,5,6,7,6,3,3,1,2,3,6,3,1,7,1,5,7,7,7,4,4,2,5,4,5,5,5,4,0,4,5,6,3,2,3,2,5,1,7,1,6,2,3,2,6,3,1,2,7,6,4,7,7,2,2,1,1,7,9,8,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,6,7,6,4,2,2,6,7,7,1,1,2,2,7,7,1,100,95,0,92,4,27,0,7,,,29,54,84,92,45,88,62,79,61,100,73,85,82,92,6,1,5,3,3,3,3,3,77,NA,88,26,85,100,89,NA,NA,82,94,86,69,NA,NA,NA,9,87,NA,45,NA,NA,5,2,1,2,5,4,3,5,3,1,1,2,1,2,6,7,7,5,6,7,6,6,2,4,5,1,1,6,1,6,7,2,2,7,1
4/7/2017 19:06,4/7/2017 19:16,1,1,0,,1,1,,,,,,1,1,Being as conservative as possible. We are true Americans,Because I believe in freedom. I support America,That we want to kill everybody. That we are racist.,I disagree,james,,,,,7,4,4,4,4,6,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,2,2,3,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,49,27,49,30,49,30,49,,,40,100,6,23,81,100,43,33,85,50,26,27,35,70,1,4,4,4,3,3,3,3,0,0,1,68,0,0,0,72,0,0,0,0,0,0,0,54,0,0,0,0,0,63,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
4/7/2017 19:18,4/7/2017 19:28,1,1,0,,1,1,,,,,,1,1,Ultra conservative. Very far to the right.,Because I love america.,That we hate blacks and muslims,aint true,cody,darrel,becky,john,conrad,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,44,44,43,44,44,44,44,,,54,100,30,29,65,45,53,54,80,63,85,56,55,75,1,4,4,4,3,3,3,3,0,0,0,84,1,0,0,86,0,0,0,0,0,0,0,61,0,0,0,0,0,63,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
4/7/2017 19:28,4/7/2017 19:31,1,1,0,,1,1,,,,,,1,1,Extremely far right,its american,that we are racists,theyre wrong,desmond,,,,,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,3,2,3,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,49,51,53,53,50,53,53,,,53,69,51,51,51,51,51,48,68,53,51,53,50,50,1,4,4,4,3,3,3,3,51,51,50,52,52,50,52,51,52,51,51,51,51,51,52,52,52,51,53,51,53,52,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
4/7/2017 19:41,4/7/2017 19:49,1,1,0,,1,1,,,,,,1,1,rejection of mainstream conservatism.,It's time to take this country into our own hands again. Stop doing things for other countries when we can barely take care of our own citizens.,That it's driven by racism and hatred.,They simply don't understand what the alt-right is trying to achieve.,Dave,Ben,Nate,Pam,Andrea,6,6,6,7,6,7,7,7,7,7,6,5,6,7,6,3,4,4,3,2,2,4,4,3,3,4,4,3,3,4,3,4,3,4,5,4,5,6,6,5,3,4,5,3,2,4,4,4,5,2,5,7,5,5,7,7,6,6,4,5,4,3,4,5,5,4,6,3,6,2,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,7,6,1,7,7,1,1,1,1,7,7,1,97,97,98,98,98,97,98,97,,,94,93,95,94,95,97,96,95,95,94,96,96,96,95,1,6,5,3,2,3,3,4,33,54,42,12,54,44,49,38,31,27,51,51,62,34,64,30,5,48,58,41,36,58,3,2,2,2,3,4,3,3,2,2,6,6,7,7,7,5,7,7,6,6,5,7,5,1,2,2,2,3,4,4,5,6,6,3,1
4/7/2017 19:43,4/7/2017 19:55,1,1,0,,1,1,,,,,,1,1,"I would describe the alt-right ideology as a group of people who are far right on the political spectrum, who find themselves unique to the majority of conservatives.",I choose to identify with the alt-right movement to set myself apart from other conservatives.,"Some common misconceptions are that people in the alt-right movement are bigists, and are minority hating people.",I am a little upset by it. I view it as more of a political group than anything else.,Jeremy,Alex,Brandon,,,6,6,6,4,4,5,6,4,4,4,1,1,1,4,4,2,2,3,4,2,2,4,3,4,2,3,5,4,4,3,4,2,4,1,1,7,7,7,7,3,3,2,6,5,1,4,5,4,1,1,2,5,3,4,4,4,4,1,1,1,9,9,1,1,1,1,9,7,9,2,1,1,3,1,1,2,2,1,1,4,4,4,4,1,2,4,4,1,4,4,4,4,2,4,4,4,4,100,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,4,4,4,3,3,3,4,2,19,13,6,42,34,29,13,8,13,9,12,4,12,10,NA,3,1,NA,15,NA,NA,3,2,2,2,3,2,3,3,3,2,3,4,2,5,4,3,5,5,4,2,5,5,4,4,3,4,2,4,5,3,5,5,1,3,1
4/7/2017 19:43,4/7/2017 20:05,1,1,0,,1,1,,,,,,0,1,A group interested in preserving white culture and standing up for our rights just like anyone else.,Because there is so much racism towards white people now. Black people are pitied and allowed to say whatever they want and its gotten out of control,That we are all racist white supremacists,If we are racist for standing up for ourselves then so is Black Lives Matter and any other organization that singles out only one race,Ella,Jason,Tino,Kylie,Arajean,7,6,6,5,5,7,7,7,7,7,7,7,7,7,7,1,7,1,7,7,7,7,5,1,5,5,1,5,5,5,1,0,0,6,4,2,2,4,2,6,2,4,3,6,2,4,3,6,1,1,1,7,5,7,7,7,7,1,1,1,1,3,7,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,2,2,7,7,6,6,1,1,4,7,7,1,1,1,1,7,7,1,100,100,58,100,9,74,60,71,,,83,100,70,77,100,63,78,86,90,100,53,100,71,74,1,5,6,6,2,5,4,5,34,NA,57,0,49,83,82,NA,63,NA,NA,NA,NA,NA,78,NA,34,82,NA,72,NA,NA,2,5,4,3,3,3,3,2,2,5,7,1,1,2,4,4,1,6,6,4,7,7,1,7,7,7,7,7,1,7,7,7,1,7,1
4/7/2017 20:02,4/7/2017 20:09,1,1,0,,1,1,,,,,,1,1,We have a very unique view that will lead america back to where it needs to be,It just fits with me.,"Some people think we stand for nothing, but they just don't understand",They are wrong.,jay,john,mike,sam,susan,3,3,4,4,4,5,4,4,3,6,4,3,4,5,5,3,3,2,3,5,2,2,1,2,2,3,2,3,3,3,3,1,3,3,3,5,3,3,5,3,4,4,2,3,3,3,4,5,3,3,3,3,4,4,4,3,3,2,2,6,2,3,4,2,4,2,2,2,3,3,5,3,3,3,3,2,5,4,3,5,3,5,4,3,3,3,4,5,4,3,3,3,3,3,5,2,3,95,99,98,98,98,99,100,97,,,97,96,100,97,97,96,98,98,96,99,93,96,97,90,1,5,5,6,4,3,1,4,18,33,31,59,35,59,49,29,27,31,67,54,53,29,55,47,33,18,42,20,38,68,4,4,3,3,3,4,2,2,3,3,3,3,3,5,5,3,2,3,3,3,3,3,3,3,2,2,2,2,5,5,4,4,4,4,1
4/7/2017 19:44,4/7/2017 20:12,1,1,0,,1,1,,,,,,1,1,The alt-right is a movement to get back the true meaning of the conservative movement that has been usurped by people using that  name who are really centrists or near liberals. It's putting America first and rejecting the rampant globalization and multi-culturalism that threatens the true values that made America the greatest country on Earth in just a couple of hundred years.,Because I see the country changing in a bad way. America was always a country of immigrants. but ones that brought their culture and integrated it into the American way instead of just establishing their own country inside the US. I think we need to stop bending over for these types.,"The biggest on is Nazi. My great grandparents were Jews who came here to avoid Nazis. Nazis have much more in common with liberals and leftists and always have, so it's just a way for the media to discredit a movement that is threatening to expos the truth about their heinous past and current intentions.","Pretty ridiculous since I went to an all-black university and had a black gay room mate for two years. Conservatives want everyone to excel and thrive with a good job, nice home and two cars regardless of race. And telling the truth about things like terrorists are Muslims from the ME isn't racist , it's just the truth. If they were Swedish or Dutch we would still hate them and want them stopped.",eric,mike,hugh,christina,michael,5,6,6,7,5,4,3,2,2,4,1,1,1,1,1,2,5,1,2,6,5,6,1,4,5,4,1,5,5,4,2,4,3,6,7,1,2,6,2,7,6,7,6,6,3,5,5,4,7,3,6,3,6,7,3,3,7,1,1,1,1,1,1,1,1,1,9,9,3,5,1,1,1,1,1,1,1,1,1,2,2,6,6,7,7,1,1,6,6,6,1,2,3,1,7,7,1,90,95,10,97,3,88,6,84,,,35,69,0,0,71,79,55,14,88,95,83,92,4,37,4,5,3,3,2,4,2,5,0,9,10,62,9,14,49,31,83,20,6,0,10,3,75,81,2,0,0,0,66,20,1,5,5,5,2,5,5,2,1,5,7,2,6,6,6,7,5,5,5,4,6,7,7,7,6,7,7,7,1,7,7,6,2,6,1
